file_name,actress,archetype,situ,max_f0,min_f0,f0_range,f0_dev,sentence_type,,,,
vertigo_24,Novak,femmefatale,casual_mys,200,171,29,8,d,,,,
vertigo_25,Novak,femmefatale,casual_mys,203,139,64,15,d,,,,
vertigo_26,Novak,femmefatale,casual_mys,253,157,96,21,yn,,,,
vertigo_27,Novak,femmefatale,casual_mys,196,155,41,10,d,,,,
vertigo_28,Novak,femmefatale,casual_mys,181,126,55,15,d,,,,
vertigo_29,Novak,femmefatale,casual_mys,221,144,77,24,yn,,,,
vertigo_30,Novak,femmefatale,casual_mys,182,162,20,6,d,,,,
phffft_1,Novak,dumbblonde,casual_light,385,230,155,26,d,,,,
phffft_2,Novak,dumbblonde,casual_light,466,259,207,38,yn,,,,
phffft_3,Novak,dumbblonde,casual_light,376,257,119,29,d,,,,
phffft_4,Novak,dumbblonde,casual_light,392,222,170,45,d,,,,
phffft_5,Novak,dumbblonde,casual_light,400,213,187,35,d,,,,
phffft_6,Novak,dumbblonde,casual_light,407,239,168,42,wh,,,,
phffft_7,Novak,dumbblonde,casual_light,317,233,84,13,d,,,,
phffft_8,Novak,dumbblonde,casual_light,456,158,298,84,d,,,,
phffft_9,Novak,dumbblonde,casual_light,403,192,211,54,d,,,,
phffft_10,Novak,dumbblonde,casual_light,386,310,76,19,e,,,,
phffft_11,Novak,dumbblonde,casual_light,366,215,151,32,d,,,,
phffft_12,Novak,dumbblonde,casual_light,381,208,173,52,d,,,,
phffft_13,Novak,dumbblonde,casual_light,380,186,194,45,d,,,,
phffft_14,Novak,dumbblonde,casual_light,281,188,93,20,d,,,,
phffft_15,Novak,dumbblonde,casual_light,472,189,283,55,yn,,,,
phffft_16,Novak,dumbblonde,casual_light,420,231,189,51,d,,,,
phffft_17,Novak,dumbblonde,casual_light,457,187,270,69,d,,,,
phffft_18,Novak,dumbblonde,casual_light,388,211,177,50,d,,,,
phffft_19,Novak,dumbblonde,casual_light,387,210,177,55,d,,,,
phffft_20,Novak,dumbblonde,casual_light,406,289,117,29,yn,,,,
phffft_21,Novak,dumbblonde,casual_light,390,190,200,51,d,,,,
phffft_22,Novak,dumbblonde,casual_light,396,260,136,47,d,,,,
phffft_23,Novak,dumbblonde,casual_light,344,229,115,30,d,,,,
phffft_24,Novak,dumbblonde,casual_light,450,204,246,72,d,,,,
phffft_25,Novak,dumbblonde,casual_light,393,244,149,42,yn,,,,
phffft_26,Novak,dumbblonde,casual_light,310,243,67,19,d,,,,
phffft_27,Novak,dumbblonde,casual_light,264,191,73,17,d,,,,
phffft_28,Novak,dumbblonde,casual_light,465,320,145,30,yn,,,,
phffft_29,Novak,dumbblonde,casual_light,411,211,200,59,d,,,,
phffft_30,Novak,dumbblonde,casual_light,466,255,211,72,d,,,,
phffft_31,Novak,dumbblonde,casual_light,348,291,57,14,yn,,,,
phffft_32,Novak,dumbblonde,casual_light,282,208,74,18,d,,,,
phffft_33,Novak,dumbblonde,casual_light,340,190,150,53,wh,,,,
phffft_34,Novak,dumbblonde,casual_light,290,220,70,17,yn,,,,
phffft_35,Novak,dumbblonde,casual_light,397,193,204,57,wh,,,,
phffft_36,Novak,dumbblonde,casual_light,417,265,152,42,e,,,,
phffft_37,Novak,dumbblonde,casual_light,431,209,222,51,d,,,,
postman_1,Turner,femmefatale,confront,245,168,77,20,d,,,,
postman_2,Turner,femmefatale,confront,333,144,189,42,d,,,,
postman_3,Turner,femmefatale,casual_light,394,157,237,61,wh,,,,
postman_4,Turner,femmefatale,casual_light,298,152,146,49,d,,,,
postman_6,Turner,femmefatale,casual_mys,265,172,93,22,d,,,,
postman_7,Turner,femmefatale,casual_mys,218,176,42,9,d,,,,
postman_8,Turner,femmefatale,casual_mys,290,178,112,25,d,,,,
postman_9,Turner,femmefatale,casual_light,288,160,128,42,d,,,,
postman_10,Turner,femmefatale,casual_mys,327,116,211,56,wh,,,,
postman_11,Turner,femmefatale,casual_mys,282,204,78,15,yn,,,,
postman_12,Turner,femmefatale,scheme,288,202,86,19,d,,,,
postman_13,Turner,femmefatale,scheme,245,169,76,14,d,,,,
postman_14,Turner,femmefatale,casual_mys,266,189,77,25,wh,,,,
postman_15,Turner,femmefatale,casual_mys,261,173,88,22,d,,,,
postman_16,Turner,femmefatale,casual_light,383,153,230,52,d,,,,
postman_17,Turner,femmefatale,confront,386,168,218,52,d,,,,
postman_18,Turner,femmefatale,confront,232,148,84,23,d,,,,
postman_19,Turner,femmefatale,confront,280,160,120,34,d,,,,
postman_20,Turner,femmefatale,casual_mys,262,192,70,16,d,,,,
postman_21,Turner,femmefatale,casual_cynical,294,176,118,32,d,,,,
postman_22,Turner,femmefatale,casual_mys,327,194,133,37,yn,,,,
postman_23,Turner,femmefatale,casual_mys,272,162,110,24,d,,,,
postman_24,Turner,femmefatale,casual_mys,257,177,80,24,d,,,,
postman_25,Turner,femmefatale,casual_mys,303,189,114,25,d,,,,
postman_26,Turner,femmefatale,casual_mys,249,170,79,18,d,,,,
postman_27,Turner,femmefatale,confront,337,183,154,45,i,,,,
postman_28,Turner,femmefatale,casual_mys,262,194,68,20,d,,,,
postman_29,Turner,femmefatale,casual_mys,266,195,71,18,d,,,,
postman_30,Turner,femmefatale,casual_mys,260,174,86,24,d,,,,
postman_31,Turner,femmefatale,casual_mys,245,194,51,10,d,,,,
postman_32,Turner,femmefatale,casual_mys,274,205,69,16,d,,,,
postman_33,Turner,femmefatale,scheme,234,209,25,7,yn,,,,
postman_34,Turner,femmefatale,scheme,239,207,32,8,d,,,,
postman_35,Turner,femmefatale,scheme,270,194,76,23,d,,,,
postman_36,Turner,femmefatale,scheme,214,181,33,7,d,,,,
bigsleep_1,Bacall,femmefatale,casual_mys,197,95,102,20,d,,,,
bigsleep_2,Bacall,femmefatale,casual_mys,188,118,70,16,yn,,,,
